descriptor,model,cv,r2,mae
soap_pca,Dummy(mean),shuffled,-0.0,0.4303
soap_pca,Dummy(mean),grouped,-0.0,0.4303
soap_pca,RF(sqrt),shuffled,0.586,0.2355
soap_pca,RF(sqrt),grouped,0.528,0.2933
soap_pca,HistGB,shuffled,0.721,0.1815
soap_pca,HistGB,grouped,0.686,0.2265
coulomb,Dummy(mean),shuffled,-0.0,0.4327
coulomb,Dummy(mean),grouped,-0.0,0.4327
coulomb,RF(sqrt),shuffled,0.772,0.1857
coulomb,RF(sqrt),grouped,0.76,0.1913
coulomb,HistGB,shuffled,0.864,0.1412
coulomb,HistGB,grouped,0.852,0.148
ewald,Dummy(mean),shuffled,-0.0,0.4327
ewald,Dummy(mean),grouped,-0.0,0.4327
ewald,RF(sqrt),shuffled,0.715,0.2106
ewald,RF(sqrt),grouped,0.71,0.2137
ewald,HistGB,shuffled,0.855,0.1504
ewald,HistGB,grouped,0.847,0.1545
