entry_id,name,formula,spacegroup,crystal_structure,band_gap,is_metal,energy_above_hull,is_stable,delta_e
647362,CaInBr3,Br6Ca2In2,Cmcm,orthorhombic,3.243,False,0.00015133600000116765,False,-1.7073523454495
1377987,CaTlBr3,Br6Ca2Tl2,Cmcm,orthorhombic,3.857,False,0.0,True,-1.7945622894495
14334,CdInBr3,Br12Cd4In4,Pnma,orthorhombic,2.176,False,0.007315550999999365,False,-0.990648965449502
647360,CrInBr3,Br12Cr4In4,P21/c,monoclinic,0.431,False,0.0406982823991453,False,-0.846142878949502
1368552,CsAgBr3,Ag2Br6Cs2,I4/mmm,tetragonal,0.0,True,0.0,True,-1.1268587139495
21692,CsAuBr3,Au2Br6Cs2,I4/mmm,tetragonal,0.622,False,0.004034777000001544,False,-1.0939287184495
1382739,CsBaBr3,BaBr3Cs,Pm-3m,cubic,4.163,False,0.06948928200000415,False,-2.1904840724495
1386168,CsBaBr3,BaBr3Cs,Pm-3m,cubic,4.164,False,0.06858480800000377,False,-2.1913885464495
13927,CsCaBr3,Br3CaCs,Pm-3m,cubic,4.607,False,0.002504417000001702,False,-2.1900748684495
1347179,CsCaBr3,Br3CaCs,P4mm,tetragonal,4.662,False,0.0035742790000017344,False,-2.1890050064495
1899,CsCdBr3,Br6Cd2Cs2,P63/mmc,hexagonal,2.981,False,0.0,True,-1.4772321034495
24300,CsCdBr3,Br6Cd2Cs2,P63mc,hexagonal,3.008,False,0.0010791549999999983,False,-1.4761529484495
1346883,CsCdBr3,Br12Cd4Cs4,Pnma,orthorhombic,2.986,False,0.01312200149999998,False,-1.4641101019495
2246,CsCrBr3,Br6Cr2Cs2,P63mc,hexagonal,0.0,True,0.050905676733376204,False,-1.3304171984495
36048,CsCuBr3,Br12Cs4Cu4,C2221,orthorhombic,0.413,False,0.008730089499999982,False,-1.1268702829495
1366840,CsCuBr3,Br6Cs2Cu2,I4/mmm,tetragonal,0.309,False,0.0,True,-1.1356003724495
24457,CsDyBr3,Br6Cs2Dy2,P4/mbm,tetragonal,0.0,True,0.14939996566599723,False,-1.81447423478284
21949,CsEuBr3,Br12Cs4Eu4,Pnma,orthorhombic,4.748,False,0.0,True,-2.2817083559495
1386802,CsEuBr3,Br3CsEu,Pm-3m,cubic,4.503,False,0.00873679950000028,False,-2.2729715564495
22059,CsFeBr3,Br6Cs2Fe2,P21/m,monoclinic,0.0,True,0.00801027400000165,False,-1.2254673244495
1431949,CsGaBr3,Br6Cs2Ga2,Fm-3m,cubic,0.0,True,0.0942563471191431,False,-1.3476632144495
11672,CsGeBr3,Br3CsGe,R3m,trigonal,1.383,False,7.052000001506187e-06,False,-1.3270543814495
14503,CsGeBr3,Br3CsGe,Pm-3m,cubic,0.933,False,0.014925072000001371,False,-1.3121363614495
4639,CsHgBr3,Br3CsHg,Pm-3m,cubic,0.0,True,0.03782834415197445,False,-1.17758174344276
19733,CsHgBr3,Br18Cs6Hg6,C2/c,monoclinic,1.55,False,0.005047136818644438,False,-1.21036295077609
1428572,CsInBr3,Br6Cs2In2,Fm-3m,cubic,0.0,True,0.022370103000001418,False,-1.4138014324495
15499,CsMgBr3,Br6Cs2Mg2,Cmcm,orthorhombic,4.233,False,0.0023493719999998497,False,-1.85803753928284
1363555,CsMgBr3,Br6Cs2Mg2,P63/mmc,hexagonal,4.23,False,0.0,True,-1.86038691128284
1476163,CsMgBr3,Br6Cs2Mg2,P63/mmc,hexagonal,4.261,False,0.0028290100000043505,False,-1.8575579012828356
